YYYY-MM-DD,hh:mm, Original, Calculated, Flag
1970/8/1,--:--,7280,-999,0
1970/9/1,--:--,8009,-999,0
1970/10/1,--:--,3402,-999,0
1970/11/1,--:--,1875,-999,0
1970/12/1,--:--,1400,-999,0
1971/1/1,--:--,1296,-999,0
1971/2/1,--:--,1414,-999,0
1971/3/1,--:--,857,-999,0
1971/4/1,--:--,1412,-999,0
1971/5/1,--:--,1307,-999,0
1971/6/1,--:--,907,-999,0
1971/7/1,--:--,2048,-999,0
1971/8/1,--:--,7129,-999,0
1971/9/1,--:--,7777,-999,0
1971/10/1,--:--,3472,-999,0
1971/11/1,--:--,2141,-999,0
1971/12/1,--:--,1562,-999,0
1972/1/1,--:--,1296,-999,0
1972/2/1,--:--,1238,-999,0
1972/3/1,--:--,887,-999,0
1972/4/1,--:--,1412,-999,0
1972/5/1,--:--,1250,-999,0
1972/6/1,--:--,960,-999,0
1972/7/1,--:--,1898,-999,0
1972/8/1,--:--,4155,-999,0
1972/9/1,--:--,3402,-999,0
1972/10/1,--:--,2754,-999,0
1972/11/1,--:--,1400,-999,0
1972/12/1,--:--,955,-999,0
1973/1/1,--:--,817,-999,0
1973/2/1,--:--,595,-999,0
1973/3/1,--:--,582,-999,0
1973/4/1,--:--,991,-999,0
1973/5/1,--:--,1067,-999,0
1973/6/1,--:--,1068,-999,0
1973/7/1,--:--,1527,-999,0
